,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
52,Abarthnes,,4.0,24.0,,1.0,6.0,21.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Awnn,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,_KanagawaRen,,3.0,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
55,DragFire,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Benkein,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,jar1360,,16.0,4.0,,6.0,13.0,14.0,,8.0,1.0,,1.0,,,3.0,1.0,,5.0,,,4.0,,4.0,,,1.0,,,,,1.0,,,,1.0,,,,,,
58,Filtered99,,4.0,3.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,,,
59,macklemoist,,2.0,,,1.0,,4.0,,,,,1.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,
60,kinyama,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,TheDuneRat,,7.0,6.0,,2.0,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,FrostyGoron,2.0,1.0,,1.0,,1.0,8.0,,1.0,,,,,,1.0,16.0,,,,,16.0,2.0,,4.0,,3.0,,,,,,1.0,,,,,1.0,,,,
63,Marita2k,,5.0,25.0,,5.0,8.0,6.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,8.0,,,,,1.0,,2.0,,,71.0,,,
64,Skullio,,1.0,,,2.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,
65,thatpie,,2.0,2.0,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Zwierze,,11.0,30.0,1.0,3.0,4.0,11.0,,5.0,,,,,,,2.0,,,,,4.0,,3.0,8.0,,1.0,,,,,,,2.0,,,,,,,,
67,deadguynwo,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Mavway02,,4.0,2.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Nerdseh,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,EnderPort,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Myracuulous,,4.0,2.0,,1.0,7.0,2.0,,,,,,,,1.0,10.0,,,,,5.0,1.0,20.0,,,2.0,,,,,,,,,,,,,,,
72,_sliced_bread,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,crazysloppyjoe,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
