,username,spider,skeleton,magma_cube,piglin,pig,creeper,sheep,zombie,ghast,cow,enderman,chicken,zombie_villager,axolotl,blaze,cat,cave_spider,drowned,elder_guardian,glow_squid,guardian,hoglin,horse,iron_golem,phantom,piglin_brute,pillager,salmon,shulker,silverfish,slime,squid,trader_llama,witch,wither,wither_skeleton,zombified_piglin,wandering_trader,stray,bat,cod,endermite,evoker,husk,rabbit,ravager,vindicator,llama,wolf,bee,turtle,ender_dragon,panda,parrot,polar_bear,strider,tropical_fish,vex,pufferfish,skeleton_horse,villager,donkey,mooshroom,fox,zoglin,zombie_horse,dolphin,goat,snow_golem,giant,mule,ocelot
29,thatweirdopix,792.0,109.0,22.0,,12.0,49.0,10.0,146.0,1.0,37.0,14411.0,13.0,1.0,,,,2.0,26.0,,1.0,,,,,20.0,,3.0,14.0,1.0,,94.0,1.0,3.0,1.0,1.0,,18.0,,1.0,1.0,,,,1.0,,,,4.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,2.0,,,,,,,3.0,,,,
30,poopeth,68.0,150.0,180.0,140.0,19.0,77.0,40.0,363.0,11.0,44.0,19469.0,17.0,9.0,,107.0,,133.0,14.0,,,,57.0,1.0,9.0,18.0,5.0,35.0,45.0,447.0,20.0,,73.0,3.0,6.0,15.0,1935.0,51.0,4.0,2.0,,,6.0,3.0,14.0,,4.0,11.0,2.0,3.0,,,1.0,,,,1.0,,11.0,,,25.0,,,,,,,,,,,
31,Areoki,58.0,93.0,,,1.0,37.0,1.0,202.0,,13.0,2.0,54.0,3.0,,,,24.0,3.0,,1.0,,,,1.0,12.0,,11.0,57.0,,,,4.0,,3.0,,,1.0,,,,,,,20.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
32,ToastyMans,54.0,147.0,42.0,5.0,21.0,61.0,,299.0,1.0,89.0,7602.0,4.0,9.0,,5.0,,2.0,4.0,,1.0,,4.0,,,1.0,,19.0,,,152.0,67.0,1.0,4.0,4.0,,2.0,1.0,,,2.0,,,1.0,,,,10.0,,1.0,,,,,,,,,9.0,,,,,,,,,1.0,,,,,
33,Jbruno17,43.0,52.0,,,2.0,35.0,,168.0,,18.0,23150.0,4.0,3.0,,,,7.0,1.0,,,,,9.0,,38.0,,1.0,3.0,,,,6.0,2.0,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
34,LoneFoghunter,10.0,32.0,,7.0,1.0,5.0,5.0,29.0,,3.0,117.0,3.0,,,,,,,,,,1.0,2.0,,4.0,,,,,,,37.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Thyrical,1.0,26.0,,1.0,,9.0,,46.0,,60.0,,,,,,,4.0,,,,,4.0,,3.0,,2.0,3.0,,,,,,,2.0,,,,,,,7.0,,,5.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
36,sejunie,,,,,4.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Gorrilag,9.0,26.0,,,12.0,14.0,12.0,55.0,,52.0,,,,,,,,1.0,,,,,,,,,,,,,19.0,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
38,diaboliqueXD,,2.0,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,TeevReqq,,,,,11.0,,1.0,,,5.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,briisu,5.0,20.0,,,13.0,4.0,16.0,35.0,,29.0,1.0,5.0,,,,,,,,,,,13.0,,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Eserio,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Hoego115,12.0,28.0,,,15.0,10.0,17.0,86.0,,129.0,790.0,4.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Errordiamond300,44.0,79.0,30.0,6.0,53.0,26.0,28.0,73.0,,66.0,2636.0,17.0,1.0,,15.0,1.0,40.0,4.0,,,,2.0,1.0,,13.0,,10.0,2.0,,,42.0,,1.0,5.0,,2.0,138.0,1.0,,,,1.0,2.0,,,,6.0,,,,13.0,,3.0,,,,,6.0,,,,,,,,,,,,,,
44,BebaBlock,3.0,12.0,,,,6.0,3.0,15.0,,11.0,,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,vredeagle,1.0,8.0,,,,4.0,,9.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,its_Krayzee,1.0,2.0,,,,1.0,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ferrno,134.0,317.0,1.0,18.0,20.0,223.0,30.0,671.0,1.0,95.0,3961.0,128.0,16.0,,6.0,,4.0,34.0,,38.0,,4.0,,4.0,6.0,,37.0,42.0,,,91.0,145.0,7.0,16.0,5.0,436.0,186.0,1.0,,26.0,,30.0,7.0,1.0,,3.0,21.0,,3.0,1.0,,1.0,,,,,,13.0,,,26.0,,,,,,,,,,,
48,boris_johnson_08,6.0,11.0,,9.0,3.0,3.0,5.0,32.0,,18.0,931.0,49.0,,,,1.0,,,,,,1.0,3.0,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Supreme_Ricardo,3.0,7.0,,,,3.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,jollygood795637,4.0,8.0,,,,4.0,,10.0,,4.0,,3.0,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
