,username,interact_with_crafting_table,open_barrel,open_shulker_box,leave_game,time_since_death,damage_resisted,sprint_one_cm,drop,deaths,jump,walk_on_water_one_cm,enchant_item,interact_with_furnace,play_one_minute,sleep_in_bed,open_enderchest,damage_dealt,crouch_one_cm,interact_with_smoker,interact_with_smithing_table,mob_kills,interact_with_anvil,inspect_hopper,climb_one_cm,walk_one_cm,sneak_time,walk_under_water_one_cm,boat_one_cm,interact_with_lectern,interact_with_blast_furnace,interact_with_grindstone,time_since_rest,damage_taken,swim_one_cm,fly_one_cm,open_chest,aviate_one_cm,fall_one_cm,interact_with_stonecutter,play_time,total_world_time,animals_bred,bell_ring,damage_absorbed,damage_blocked_by_shield,damage_dealt_absorbed,fish_caught,horse_one_cm,inspect_dispenser,interact_with_beacon,interact_with_brewingstand,interact_with_cartography_table,play_noteblock,play_record,player_kills,talked_to_villager,traded_with_villager,tune_noteblock,interact_with_loom,inspect_dropper,pot_flower,raid_trigger,raid_win,minecart_one_cm,eat_cake_slice,strider_one_cm,fill_cauldron,target_hit,trigger_trapped_chest,use_cauldron,clean_shulker_box,interact_with_campfire,pig_one_cm,clean_banner,damage_dealt_resisted
101,willmick1,1568.0,2665.0,16313.0,451.0,347517.0,9480.0,74016157.0,6577.0,184.0,225475.0,4114564.0,131.0,1922.0,,162.0,976.0,777301.0,3616904.0,11.0,32.0,37946.0,295.0,4625.0,3198614.0,94624694.0,1169508.0,12697931.0,3626079.0,90.0,6.0,69.0,347537.0,315386.0,9062520.0,49015596.0,20713.0,511621696.0,5726106.0,99.0,60224074.0,1386483.0,297.0,37.0,373.0,,1.0,,1906256.0,1235.0,47.0,47.0,8.0,1083.0,27.0,8.0,6438.0,33598.0,2000.0,6.0,702.0,,,2.0,3248355.0,121.0,,,40.0,1.0,,,,,,
102,MaximusDesmus,142.0,151.0,633.0,96.0,241758.0,7146.0,9052015.0,224.0,47.0,32642.0,101637.0,49.0,147.0,,33.0,31.0,49171.0,137118.0,,5.0,6239.0,66.0,4.0,247457.0,7382409.0,38075.0,137825.0,29485.0,13.0,1.0,2.0,39503.0,58429.0,12310.0,8210621.0,663.0,49852383.0,1347442.0,,3064444.0,3064444.0,,18.0,,,,,72270.0,3.0,,,,,,2.0,13.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,
103,Dormant_Demon,166.0,109.0,362.0,19.0,95078.0,1630.0,6807010.0,475.0,5.0,17169.0,393730.0,60.0,85.0,,5.0,279.0,160368.0,111532.0,44.0,1.0,10005.0,45.0,17.0,383474.0,7535357.0,45531.0,440364.0,426070.0,,61.0,14.0,95098.0,21604.0,1927752.0,4089838.0,1074.0,24399090.0,284114.0,2.0,2666076.0,2666076.0,17.0,44.0,160.0,90.0,,12.0,,3.0,2.0,16.0,,,1.0,5.0,2.0,,,,,,,,,,,1.0,,,1.0,,,,,
104,CarromaPt,20.0,8.0,14.0,6.0,6214.0,391.0,425819.0,8.0,5.0,3150.0,43106.0,,28.0,,,10.0,1847.0,16025.0,,,16.0,,4.0,9609.0,781003.0,4104.0,21231.0,164208.0,1.0,,,6234.0,3483.0,32698.0,662962.0,66.0,2275497.0,90364.0,2.0,184969.0,184969.0,,1.0,,,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
105,D4CValentine,,,1.0,3.0,6382.0,41.0,147051.0,3.0,2.0,495.0,7168.0,,,,,,,,,,,,1.0,2800.0,355405.0,19.0,8672.0,666955.0,,,,6402.0,1291.0,2600.0,17661.0,2.0,1531675.0,21263.0,,128650.0,40098.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,mkehoe28,25.0,1.0,,3.0,268093.0,4.0,1095241.0,13.0,,2695.0,42509.0,,18.0,,5.0,1.0,3600.0,2651.0,,,33.0,,,268.0,816382.0,1123.0,23744.0,1747353.0,4.0,1.0,,140463.0,914.0,14166.0,355631.0,59.0,,54720.0,,268093.0,268093.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
107,xpicklemanx99,66.0,5.0,133.0,20.0,747639.0,,851346.0,14.0,,4824.0,153220.0,2.0,103.0,,29.0,1.0,24986.0,112319.0,,,172.0,11.0,11.0,882.0,1946313.0,37170.0,273919.0,459677.0,,,1.0,398.0,2674.0,426224.0,680846.0,487.0,,83485.0,1.0,747639.0,129127.0,18.0,,,2745.0,,395.0,2521184.0,,,,,,,,23.0,111.0,,,,,,,,,,,,,,,72.0,,,
108,Aegarion,,,,1.0,262.0,172.0,12502.0,,1.0,21.0,,,,,,,13.0,29.0,,,,,,,4039.0,13.0,,,,,,282.0,258.0,,6473.0,1.0,,209.0,,3162.0,3162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,miekoooo,110.0,1.0,,39.0,102868.0,12.0,2333588.0,70.0,25.0,13133.0,39248.0,,244.0,,13.0,,29394.0,61677.0,,,171.0,,,5192.0,1972210.0,18308.0,6080.0,88123.0,,,,7591.0,10345.0,,2677302.0,363.0,,368684.0,,962346.0,962346.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
110,CodyF,73.0,43.0,166.0,10.0,8078.0,1392.0,1137488.0,36.0,44.0,9867.0,69811.0,,58.0,,8.0,72.0,3541.0,102230.0,,,18.0,,,48793.0,1501097.0,32717.0,58009.0,700614.0,6.0,,1.0,7517.0,19732.0,177146.0,1650578.0,136.0,,461366.0,2.0,604515.0,604515.0,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,
111,Ellie0473,29.0,20.0,1.0,12.0,78897.0,1898.0,1075351.0,19.0,22.0,3278.0,10090.0,,13.0,,3.0,1.0,1984.0,10634.0,,,18.0,,,129054.0,991783.0,4275.0,3715.0,1671874.0,,,,41943.0,9578.0,7331.0,670045.0,65.0,,133440.0,,342778.0,342778.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,TheLegitOne___,7.0,36.0,11.0,2.0,50997.0,30.0,256381.0,1.0,,869.0,3380.0,,4.0,,2.0,3.0,4441.0,4266.0,,,45.0,,,4299.0,143292.0,1405.0,319.0,27420.0,4.0,,,7394.0,930.0,3525.0,187175.0,30.0,,25904.0,,50997.0,50997.0,,,,385.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
113,Joshman_,47.0,51.0,12.0,5.0,333110.0,671.0,1463114.0,77.0,3.0,5542.0,41896.0,91.0,99.0,,,98.0,15216.0,127682.0,,,3643.0,18.0,,87948.0,902941.0,40064.0,16549.0,83242.0,5.0,,20.0,333134.0,7072.0,37489.0,1458158.0,145.0,1290212.0,113440.0,,375546.0,375546.0,,,,1576.0,,,,4.0,,,,,4.0,,,,,,,1.0,,,,4.0,,,,,,,,,,
114,Tatarage,,,,1.0,2553.0,,,,,23.0,568.0,,,,,,,,,,,,,,28341.0,,,,,,,2553.0,10.0,,,1.0,,335.0,,2553.0,2553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,JefforyKnightVA,388.0,1791.0,2169.0,253.0,361947.0,9397.0,35744189.0,1124.0,81.0,220927.0,671153.0,77.0,658.0,,105.0,33.0,121656.0,5297658.0,6.0,15.0,10899.0,89.0,295.0,626550.0,24165632.0,1336278.0,522507.0,4642381.0,28.0,,32.0,361967.0,108564.0,1001884.0,51575273.0,4430.0,177735710.0,5871635.0,,15086509.0,15086509.0,,45.0,138.0,5079.0,36.0,,4902.0,19.0,1.0,,,169.0,7.0,39.0,30.0,,10.0,,1.0,,,2.0,22462.0,6.0,,,,,,,5.0,,,
116,Basmati_,2.0,,,2.0,15675.0,,44467.0,,,560.0,765.0,,,,,,,1.0,,,,,,,34600.0,52.0,135.0,,,,,15675.0,160.0,2248.0,146361.0,17.0,,20291.0,,15675.0,15675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,DynamiteP,419.0,5953.0,1712.0,194.0,279932.0,13361.0,16754576.0,2396.0,72.0,60702.0,1802847.0,,523.0,,91.0,1252.0,149622.0,627656.0,,18.0,7134.0,97.0,19.0,762288.0,25127500.0,206574.0,2904669.0,2300708.0,15.0,30.0,2.0,279953.0,58150.0,680684.0,15949591.0,3117.0,150620971.0,1288103.0,80.0,7173103.0,117061.0,95.0,,220.0,,,9.0,523953.0,17.0,,2.0,,,49.0,64.0,60.0,26.0,,5.0,3.0,,,,40257.0,,,,,,,,,420736.0,,
118,cokiemo,206.0,1.0,4.0,30.0,55252.0,505.0,1964029.0,107.0,22.0,25392.0,236646.0,,344.0,,19.0,3.0,12814.0,416132.0,,,143.0,2.0,1.0,56720.0,1461982.0,127328.0,191255.0,337619.0,1.0,,,55108.0,17436.0,493620.0,2371555.0,527.0,1848642.0,435615.0,,930736.0,1029.0,,3.0,,8.0,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,
119,JakeTheDragon_,1128.0,673.0,17387.0,982.0,2114835.0,12301.0,64322824.0,15506.0,58.0,252131.0,8408698.0,,3096.0,,1249.0,1538.0,936142.0,7725976.0,,25.0,77067.0,163.0,321.0,702175.0,176054553.0,1875953.0,5191798.0,2483147.0,24.0,164.0,2.0,10897.0,208847.0,5703305.0,65376776.0,14251.0,380132680.0,4688431.0,12.0,31566906.0,19729249.0,114.0,27.0,119.0,5370.0,,,5108.0,19.0,41.0,2.0,12.0,,36.0,2.0,19.0,,44.0,,78.0,,1.0,,,3.0,,1.0,,,,,,,,
120,TaylorMak11,5.0,,,3.0,115684.0,,342893.0,1.0,,2158.0,23519.0,,4.0,115685.0,,1.0,308.0,9554.0,,,4.0,,,12528.0,179059.0,4651.0,4831.0,37011.0,,,,115685.0,675.0,261677.0,828161.0,16.0,,49681.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PythonPixels,43.0,,1.0,18.0,42808.0,72.0,1705848.0,18.0,12.0,9101.0,20054.0,,28.0,493627.0,2.0,,6465.0,3603.0,,,50.0,,,10542.0,899212.0,1000.0,3859.0,115238.0,,,,42828.0,5497.0,4538.0,1828845.0,112.0,802104.0,245930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,TitanReaper_64,12.0,,,2.0,21242.0,,340379.0,3.0,6.0,1581.0,23423.0,,,111405.0,,2.0,1027.0,8361.0,,,18.0,,,952.0,168622.0,5563.0,26265.0,,2.0,,,21262.0,1505.0,47766.0,144781.0,4.0,,34026.0,,,,,,,,,,7471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,RaaaGe,,,2.0,7.0,43281.0,20.0,83734.0,,,278.0,431.0,,,,,1.0,,985.0,,,,,,617.0,53392.0,291.0,10955.0,,,,,43281.0,40.0,,82944.0,4.0,,6291.0,,43281.0,18989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,RadSadCowboi,429.0,468.0,720.0,64.0,581352.0,4254.0,4020515.0,775.0,15.0,15802.0,1019319.0,24.0,396.0,,36.0,76.0,123771.0,260936.0,14.0,18.0,7743.0,40.0,,151039.0,22785112.0,96851.0,1589586.0,2762993.0,21.0,201.0,2.0,608.0,29115.0,469889.0,894188.0,2106.0,74965137.0,384481.0,2.0,5798527.0,5798527.0,84.0,129.0,80.0,,,7.0,111113.0,9.0,,,13.0,,,,74.0,1.0,,,,,,,96852.0,6.0,,,,,,,27.0,,,
125,Maatricht,22.0,6.0,,4.0,51478.0,,133240.0,10.0,2.0,1728.0,24187.0,,12.0,113245.0,1.0,3.0,4171.0,2080.0,9.0,,37.0,,,5033.0,488610.0,868.0,7465.0,357020.0,2.0,,,51499.0,915.0,22982.0,263315.0,2.0,,33910.0,1.0,,,,,,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,BionicTulip,17.0,1.0,13.0,4.0,4264.0,284.0,308491.0,81.0,3.0,2333.0,35758.0,,,,,,10003.0,4392.0,,,74.0,,,803.0,143475.0,4263.0,60229.0,752969.0,1.0,,,4284.0,2140.0,131608.0,508466.0,37.0,,77373.0,,131420.0,131420.0,,,,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Matakiller,797.0,963.0,1584.0,229.0,44.0,3502.0,16095020.0,2742.0,224.0,100604.0,3378477.0,,2574.0,,297.0,568.0,310270.0,3678342.0,21.0,16.0,10402.0,39.0,45.0,1196854.0,61293241.0,927415.0,2644861.0,257925.0,14.0,100.0,4.0,64.0,176563.0,645431.0,13162987.0,8416.0,114370491.0,2787932.0,54.0,15394778.0,1756257.0,440.0,,189.0,20937.0,,,169040.0,176.0,34.0,,5.0,,,5.0,949.0,5872.0,4.0,4.0,1.0,,1.0,,38607.0,1.0,,3.0,,,,,,,,
128,SpOokyBoy_Ash,976.0,3606.0,11015.0,492.0,1221880.0,22848.0,29290743.0,3404.0,133.0,200291.0,1133401.0,,898.0,,169.0,802.0,258848.0,6208796.0,24.0,9.0,24325.0,148.0,45.0,787329.0,74879241.0,2111843.0,3183624.0,1602658.0,59.0,7.0,3.0,50184.0,155483.0,1741736.0,39247357.0,6567.0,334800817.0,4713748.0,15.0,27528248.0,27528248.0,21.0,315.0,156.0,1860.0,3.0,,325575.0,61.0,30.0,1.0,,8.0,3.0,90.0,21.0,5.0,196.0,76.0,14.0,4.0,,2.0,1198407.0,65.0,,6.0,,1.0,,,,,16.0,
129,Serenqeti,2.0,9.0,3.0,6.0,67894.0,,167536.0,2.0,,1290.0,3422.0,,5.0,67894.0,,1.0,1994.0,3012.0,,,23.0,,1.0,220.0,105587.0,1310.0,743.0,316559.0,1.0,,,67894.0,397.0,21187.0,370579.0,28.0,,20728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,shoolq,,,,4.0,121586.0,379.0,139111.0,6.0,6.0,587.0,210.0,,,,,,671.0,3225.0,,,,,,1896.0,126811.0,1505.0,52.0,,,,,121606.0,2199.0,640.0,180783.0,3.0,23930.0,23606.0,,170461.0,170461.0,,,40.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
131,NevQ,827.0,1750.0,4189.0,735.0,308668.0,10744.0,42252468.0,2952.0,73.0,121270.0,1150411.0,4.0,826.0,,343.0,332.0,231053.0,1421107.0,12.0,10.0,10281.0,36.0,163.0,1071910.0,55350072.0,475686.0,3870274.0,2239762.0,81.0,24.0,4.0,308688.0,87113.0,616139.0,76419605.0,10871.0,219697534.0,1970896.0,18.0,47788930.0,21486142.0,369.0,31.0,214.0,,,2.0,43192.0,88.0,20.0,6.0,,3.0,,101.0,100.0,,46.0,5.0,4.0,3.0,,2.0,751837.0,,,,,,,,9.0,,,
132,Modify1337,823.0,290.0,2567.0,235.0,4832389.0,4230.0,2232045.0,1417.0,9.0,48701.0,817225.0,17.0,560.0,,204.0,136.0,66875.0,4308861.0,390.0,3.0,11329.0,43.0,49.0,1402031.0,57326750.0,1744156.0,1795537.0,1129877.0,35.0,78.0,,395970.0,24191.0,291072.0,851396.0,5359.0,135420168.0,679138.0,12.0,17848835.0,17848835.0,8.0,13.0,,,9.0,,45355.0,105.0,21.0,5.0,,,,38.0,433.0,1822.0,141.0,1.0,89.0,,1.0,,23538.0,,,,6.0,,,,,,,
133,Jennajen,99.0,51.0,40.0,18.0,210470.0,82.0,1600629.0,23.0,9.0,10159.0,171656.0,,571.0,,14.0,40.0,14757.0,319392.0,,,86.0,6.0,,276686.0,3964720.0,106307.0,58783.0,72324.0,7.0,27.0,,30746.0,12141.0,145524.0,1771680.0,522.0,6024469.0,268271.0,,1401513.0,1401513.0,8.0,,,6115.0,,,19314.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
134,3ZVB,99.0,36.0,280.0,73.0,9443.0,922.0,5166255.0,377.0,102.0,24231.0,129977.0,1.0,29.0,,37.0,115.0,49217.0,139842.0,6.0,2.0,2608.0,18.0,34.0,567985.0,3209251.0,45351.0,110967.0,145320.0,5.0,4.0,3.0,9463.0,49031.0,122415.0,3859360.0,1660.0,11644512.0,567928.0,1.0,3442504.0,3442504.0,,,,,,,5819.0,8.0,5.0,8.0,1.0,,116.0,2.0,114.0,85.0,,,5.0,,,,10045.0,,,,,,,,,,,
135,None25,12.0,6.0,47.0,18.0,80.0,764.0,446100.0,6.0,5.0,2561.0,5725.0,,,,2.0,1.0,430.0,448.0,,1.0,,,,20409.0,301976.0,529.0,42003.0,,,,,100.0,1957.0,17465.0,684310.0,16.0,,60387.0,,177933.0,177933.0,,,,,,,,1.0,,,,,,2.0,2.0,,,,,,,,,4.0,,,,,,,,,,
136,NocturnePlus,,,,1.0,10308.0,,40911.0,,,177.0,892.0,,,10308.0,,,,,,,,,,,57808.0,5.0,791.0,,1.0,,,10308.0,10.0,10.0,50407.0,6.0,,2751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Plaic,1684.0,2480.0,2878.0,269.0,189765.0,38688.0,8068597.0,9606.0,268.0,156387.0,3606206.0,19.0,614.0,19542567.0,133.0,590.0,583302.0,6988754.0,92.0,33.0,20323.0,202.0,374.0,1304747.0,116576581.0,1440039.0,3616673.0,1048901.0,32.0,118.0,16.0,189785.0,254242.0,1530066.0,27283402.0,11847.0,136359512.0,4882805.0,48.0,,,270.0,264.0,4945.0,5345.0,149.0,19.0,10558503.0,34.0,155.0,53.0,,48160.0,45.0,70.0,896.0,473.0,6341.0,13.0,20.0,28.0,1.0,2.0,437587.0,10.0,418.0,9.0,,1.0,,7.0,15.0,1730570.0,,
138,AbdulOsam,120.0,,,28.0,1557336.0,,4318700.0,241.0,,15656.0,421586.0,12.0,106.0,,31.0,,87763.0,84247.0,1.0,,631.0,4.0,31.0,64069.0,4275858.0,31826.0,289260.0,534684.0,,1.0,,45190.0,9159.0,395311.0,1824108.0,1189.0,,251645.0,21.0,1557336.0,1476518.0,194.0,,40.0,9025.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Nightmar35,24.0,16.0,10.0,5.0,104838.0,78.0,95409.0,8.0,3.0,1564.0,39598.0,,46.0,309447.0,10.0,1.0,3786.0,67644.0,,,34.0,2.0,1.0,22529.0,1677968.0,14710.0,18245.0,883369.0,,,,27056.0,1604.0,29046.0,30001.0,195.0,,24773.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
140,GLackDon,1906.0,3846.0,26921.0,513.0,5714916.0,15900.0,63079137.0,8476.0,86.0,215963.0,2351907.0,203.0,747.0,,806.0,1622.0,296884.0,1932493.0,40.0,16.0,39899.0,195.0,1658.0,4563710.0,72041918.0,794000.0,3438206.0,2612025.0,114.0,142.0,103.0,28301.0,115250.0,3153950.0,57550896.0,16204.0,324020685.0,5509039.0,102.0,45425315.0,45425315.0,27.0,68.0,,,37.0,,446630.0,57.0,45.0,212.0,1.0,207.0,1.0,32.0,274.0,1267.0,215.0,14.0,39.0,4.0,1.0,2.0,126180.0,3.0,,4.0,10.0,3.0,1.0,3.0,1.0,,,
141,Barbacena,246.0,263.0,41.0,53.0,196383.0,723.0,2530737.0,161.0,19.0,16780.0,156866.0,,329.0,1964851.0,11.0,9.0,50708.0,1324004.0,50.0,6.0,365.0,10.0,,35439.0,6012423.0,338750.0,34472.0,,,100.0,,83981.0,21501.0,33098.0,2382806.0,927.0,5458323.0,430439.0,,,,,,,2850.0,,,,,,,,,1.0,2.0,79.0,43.0,,,,,,,,,,,,,,,,,,
142,Tekavi,2747.0,2879.0,11612.0,803.0,574186.0,131853.0,72092181.0,10392.0,193.0,316472.0,3571223.0,,435.0,,227.0,2280.0,979917.0,7016587.0,5.0,43.0,29920.0,472.0,2119.0,2105117.0,85675648.0,1666077.0,10043798.0,4016934.0,104.0,12.0,31.0,50619.0,480787.0,11693960.0,59496789.0,27991.0,635738913.0,9574797.0,27.0,114683180.0,47581182.0,1233.0,48.0,10339.0,6259.0,1115.0,,49236.0,179.0,170.0,870.0,1.0,10.0,38.0,58.0,4689.0,43463.0,129.0,12.0,337.0,,2.0,6.0,174761.0,11.0,363.0,18.0,,,138.0,8.0,,559.0,,
143,PaulFT5,29.0,3.0,4.0,6.0,150309.0,36.0,305292.0,39.0,,3545.0,36781.0,,10.0,150309.0,,3.0,5619.0,43443.0,17.0,,48.0,,2.0,283.0,155286.0,19247.0,10487.0,245647.0,4.0,7.0,,150309.0,2312.0,44086.0,654321.0,73.0,,90793.0,,,,,,,125.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
144,Tohbeh,579.0,2975.0,2436.0,168.0,531327.0,800.0,30351417.0,578.0,11.0,137966.0,253196.0,103.0,2720.0,,74.0,457.0,176307.0,3162450.0,,32.0,7451.0,92.0,16.0,1239383.0,28302962.0,836656.0,147422.0,728274.0,28.0,,,8687.0,44659.0,230800.0,26486474.0,7320.0,18373011.0,2454358.0,128.0,8899478.0,8899478.0,105.0,22.0,,9099.0,,531.0,4822.0,15.0,2.0,62.0,,,2.0,7.0,23.0,3.0,1.0,,5.0,1.0,,,,1.0,,,,,,,,,,
145,NigthmareTTV,18.0,96.0,53.0,13.0,3876.0,200.0,1010762.0,294.0,34.0,6246.0,50503.0,,22.0,,6.0,35.0,11143.0,65686.0,,,593.0,13.0,10.0,15299.0,841873.0,20672.0,59188.0,207627.0,5.0,3.0,,3896.0,16183.0,51752.0,1244512.0,508.0,1482613.0,213067.0,,363731.0,363731.0,,18.0,,3330.0,,,,6.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
146,ichasestarlight,8.0,,,6.0,7679.0,64.0,582.0,1.0,2.0,712.0,10979.0,,,,,2.0,,,,,,,,1025.0,675829.0,51.0,1828.0,,,,,7699.0,516.0,,4588.0,8.0,,14697.0,,160074.0,160074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Nexo03,1395.0,645.0,8136.0,1343.0,238372.0,12274.0,106098988.0,2295.0,725.0,446805.0,2633081.0,194.0,3517.0,,791.0,138.0,1238364.0,2876493.0,297.0,36.0,73118.0,340.0,465.0,1726524.0,126045132.0,931772.0,32040599.0,3467919.0,19.0,481.0,80.0,238392.0,504550.0,14502932.0,141505727.0,44882.0,277730676.0,12637345.0,242.0,47259020.0,10242942.0,134.0,62.0,472.0,6660.0,68.0,22.0,916040.0,57.0,66.0,346.0,7.0,,9.0,39.0,185.0,466.0,8.0,17.0,35.0,2.0,3.0,5.0,457366.0,20.0,251261.0,7.0,,,10.0,,,,,
148,xBinded,1.0,,,1.0,406.0,,17376.0,,1.0,225.0,144.0,,,8167.0,,1.0,,54.0,,,,,,140.0,7759.0,41.0,108.0,,,,,426.0,700.0,540.0,57179.0,7.0,,12901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,WillPlaysGame,576.0,709.0,819.0,125.0,132554.0,3273.0,13320365.0,2505.0,94.0,44729.0,1362141.0,17.0,101.0,,82.0,172.0,75792.0,585483.0,4.0,8.0,8372.0,102.0,13.0,590805.0,21162152.0,161609.0,1243318.0,4384071.0,27.0,1.0,13.0,71000.0,61337.0,634921.0,2543818.0,2622.0,40074896.0,945363.0,27.0,5735464.0,5528019.0,38.0,5.0,40.0,9816.0,,1.0,23219737.0,42.0,1.0,2.0,1.0,,6.0,8.0,27.0,3.0,7.0,3.0,,,1.0,,275231.0,3.0,104008.0,,,,,,,,,
150,Ducky0134721,,12.0,,4.0,4886.0,658.0,161648.0,2.0,6.0,1381.0,2928.0,,1.0,51121.0,,9.0,1998.0,2764.0,,,12.0,,1.0,903.0,102145.0,1004.0,2563.0,,2.0,,,4906.0,1712.0,10644.0,347517.0,6.0,,37264.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
151,FlamingDragX,34.0,224.0,39.0,29.0,121601.0,458.0,1652897.0,16.0,2.0,7271.0,47767.0,8.0,18.0,,2.0,65.0,3667.0,68052.0,5.0,1.0,25.0,2.0,5.0,5800.0,1044377.0,37508.0,129151.0,,13.0,8.0,,18871.0,2419.0,25588.0,1639899.0,351.0,,142620.0,,480026.0,480026.0,,49.0,,,,259.0,11379.0,,2.0,4.0,,,,,1.0,,64.0,1.0,,,,,,,,,,,,,59.0,,,
152,XxZEVAxX284,10.0,,,5.0,70003.0,,165491.0,4.0,,962.0,3639.0,,2.0,70003.0,,,100.0,6483.0,,,2.0,,,,108295.0,2442.0,81.0,,,,,70003.0,210.0,3497.0,123419.0,,,14319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,V1NQE,,,,1.0,1604.0,4.0,6950.0,,,6.0,,,,,,,,407.0,,,,,,,2939.0,142.0,,,,,,1604.0,6.0,,629.0,,,335.0,,1604.0,1604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,TheHollowKnight5,8.0,61.0,21.0,3.0,205212.0,271.0,611845.0,28.0,,4009.0,24038.0,,2.0,205212.0,,1.0,1320.0,7766.0,,,8.0,8.0,,4403.0,581162.0,3834.0,12607.0,,4.0,,,205212.0,1667.0,60.0,992294.0,43.0,2285098.0,102768.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,LtMerlin,15.0,3.0,,2.0,95768.0,,169237.0,2.0,,2081.0,8747.0,,25.0,,,1.0,4039.0,2690.0,,,36.0,,,220.0,489013.0,962.0,7320.0,,1.0,,,95768.0,534.0,7572.0,428160.0,30.0,,50611.0,,95768.0,95768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,eWar,15.0,35.0,13.0,6.0,121240.0,674.0,1716372.0,153.0,5.0,3968.0,21980.0,,8.0,353186.0,,3.0,22326.0,21440.0,,1.0,792.0,1.0,1.0,60608.0,450620.0,6067.0,18865.0,511473.0,5.0,,,121261.0,9111.0,16197.0,1723827.0,62.0,4571710.0,135576.0,,,,,,,372.0,,,3952.0,,1.0,,,1.0,,9.0,,,17.0,,,,,,47884.0,3.0,,,,,,,,,,
157,DustaWolf,71.0,97.0,109.0,30.0,246061.0,145.0,2051368.0,56.0,14.0,16762.0,345147.0,1.0,60.0,,21.0,13.0,23340.0,289084.0,4.0,1.0,1033.0,2.0,12.0,3176.0,1114493.0,105926.0,248613.0,91509.0,7.0,,,120686.0,13534.0,310938.0,3711940.0,265.0,,471880.0,2.0,1196603.0,1196603.0,,,,4605.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
158,StoneyBolagna,171.0,38.0,,24.0,10945.0,10.0,5665063.0,206.0,33.0,35687.0,465968.0,3.0,1082.0,,40.0,1.0,58190.0,229029.0,,,597.0,7.0,3.0,20890.0,6603452.0,79185.0,394944.0,73116.0,1.0,,1.0,10965.0,33665.0,203594.0,4325883.0,947.0,,601864.0,,2441413.0,22667.0,9.0,,,,,,1980227.0,,,,,,,,272.0,261.0,1.0,,,,,,117985.0,,,,,,,,,,,
159,Hitoshimonky,,28.0,6.0,1.0,19026.0,96.0,44310.0,,,157.0,996.0,,,19026.0,,3.0,,2105.0,,,,,,248.0,76967.0,1289.0,838.0,,2.0,,,19026.0,160.0,1023.0,28450.0,18.0,,3406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,Lunaellia,2.0,,2.0,2.0,28273.0,4.0,69942.0,,,201.0,501.0,,,,,,15.0,667.0,,1.0,,,,628.0,181511.0,84.0,68.0,,2.0,,,28273.0,106.0,,25585.0,14.0,,4866.0,,28273.0,28273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
