,username,interact_with_crafting_table,open_barrel,open_shulker_box,leave_game,time_since_death,damage_resisted,sprint_one_cm,drop,deaths,jump,walk_on_water_one_cm,enchant_item,interact_with_furnace,play_one_minute,sleep_in_bed,open_enderchest,damage_dealt,crouch_one_cm,interact_with_smoker,interact_with_smithing_table,mob_kills,interact_with_anvil,inspect_hopper,climb_one_cm,walk_one_cm,sneak_time,walk_under_water_one_cm,boat_one_cm,interact_with_lectern,interact_with_blast_furnace,interact_with_grindstone,time_since_rest,damage_taken,swim_one_cm,fly_one_cm,open_chest,aviate_one_cm,fall_one_cm,interact_with_stonecutter,play_time,total_world_time,animals_bred,bell_ring,damage_absorbed,damage_blocked_by_shield,damage_dealt_absorbed,fish_caught,horse_one_cm,inspect_dispenser,interact_with_beacon,interact_with_brewingstand,interact_with_cartography_table,play_noteblock,play_record,player_kills,talked_to_villager,traded_with_villager,tune_noteblock,interact_with_loom,inspect_dropper,pot_flower,raid_trigger,raid_win,minecart_one_cm,eat_cake_slice,strider_one_cm,fill_cauldron,target_hit,trigger_trapped_chest,use_cauldron,clean_shulker_box,interact_with_campfire,pig_one_cm,clean_banner,damage_dealt_resisted
22,Titanicus,1774.0,5951.0,5018.0,777.0,2304140.0,26649.0,129435299.0,5665.0,74.0,168977.0,3904614.0,60.0,975.0,,1642.0,5410.0,600108.0,3567111.0,692.0,28.0,36514.0,251.0,225.0,3224290.0,104973597.0,1021834.0,4295091.0,3745385.0,108.0,1079.0,13.0,8324.0,211158.0,2927915.0,73944086.0,26123.0,1508918070.0,5470285.0,11.0,60393581.0,25608343.0,39.0,338.0,699.0,5703.0,100.0,2.0,2586954.0,79.0,72.0,113.0,,6.0,3.0,119.0,344.0,867.0,560.0,3.0,15.0,2.0,7.0,12.0,201221.0,4.0,,,18.0,38.0,1.0,,,,,
23,Aquafina__,2050.0,4460.0,4626.0,628.0,7720.0,24505.0,81127702.0,3516.0,218.0,269749.0,1787298.0,15.0,1455.0,,331.0,739.0,680570.0,2377384.0,697.0,57.0,27387.0,328.0,568.0,2531532.0,76418343.0,871793.0,2047952.0,3573330.0,154.0,476.0,64.0,7740.0,204584.0,1578176.0,74118128.0,19184.0,250448894.0,6425220.0,365.0,33686125.0,12381277.0,1154.0,855.0,58.0,8728.0,135.0,140.0,1105441.0,248.0,14.0,13.0,2.0,483.0,79.0,86.0,257.0,26.0,705.0,45.0,67.0,58.0,2.0,7.0,2743965.0,26.0,14728.0,5.0,29.0,3.0,,4.0,12.0,552.0,,
24,tapatio_dealer,1936.0,4109.0,7081.0,455.0,45383.0,19333.0,40078258.0,2633.0,349.0,175347.0,2228724.0,152.0,662.0,,57.0,777.0,443690.0,3260448.0,4.0,15.0,15098.0,171.0,91.0,1887433.0,68631950.0,799654.0,3615954.0,7229786.0,50.0,61.0,77.0,10211.0,168530.0,941575.0,42656821.0,15379.0,100769890.0,3747180.0,174.0,19058349.0,758043.0,27.0,5.0,254.0,609.0,89.0,37.0,19355.0,128.0,30.0,2197.0,19.0,21.0,26.0,73.0,1005.0,1586.0,425.0,19.0,17.0,,,1.0,175284.0,14.0,1126.0,1.0,,,1.0,,,40253.0,,
25,squampy10,,,,1.0,174.0,,,,,,,,,174.0,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FelixKranken_,1.0,,,2.0,46482.0,,303650.0,3.0,1.0,1355.0,5961.0,,,,,1.0,10.0,2173.0,,,,,,10768.0,106836.0,856.0,32822.0,47640.0,1.0,,,46502.0,2245.0,39999.0,357410.0,12.0,,49151.0,,78780.0,78780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,KittenGosCrazy,210.0,341.0,712.0,64.0,125439.0,4013.0,12914810.0,1590.0,46.0,65656.0,470399.0,1.0,190.0,,15.0,441.0,222847.0,616249.0,352.0,13.0,11925.0,61.0,449.0,571393.0,15338249.0,172341.0,945219.0,904786.0,15.0,60.0,,125460.0,70566.0,944041.0,19061439.0,2532.0,87152057.0,1639847.0,24.0,6062254.0,486710.0,30.0,39.0,47.0,8841.0,,32.0,1595510.0,13.0,21.0,108.0,2.0,,1.0,9.0,665.0,54.0,,2.0,19.0,,,1.0,59442.0,5.0,149901.0,,16.0,,,,,,,
28,Ciemny__,341.0,397.0,246.0,57.0,61675.0,5328.0,12026207.0,941.0,76.0,81889.0,856361.0,27.0,267.0,3435790.0,43.0,389.0,187051.0,225873.0,,5.0,7345.0,55.0,17.0,447140.0,12622237.0,71649.0,872366.0,1058272.0,9.0,,18.0,53052.0,65980.0,165116.0,19570864.0,923.0,11947066.0,2475086.0,4.0,,,44.0,189.0,,4042.0,,,,,1.0,,1.0,,8.0,32.0,75.0,37.0,,14.0,2.0,,,,,1.0,,,,,,,,,,
29,eltyson,3.0,6.0,18.0,3.0,75118.0,106.0,104932.0,1.0,,921.0,23849.0,,10.0,,1.0,3.0,1648.0,114.0,,,12.0,,2.0,8226.0,520264.0,10.0,8536.0,,1.0,,,53568.0,964.0,,48803.0,70.0,,18083.0,,75118.0,75118.0,,,,,,,16380.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
30,AnimeLoveGod,,3.0,,3.0,12037.0,,60773.0,,2.0,540.0,7287.0,,,26866.0,,,635.0,1196.0,,,4.0,,,996.0,55543.0,441.0,472.0,,2.0,,,12057.0,720.0,10215.0,149738.0,5.0,,17210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MrStealYoKills,38.0,7.0,5.0,18.0,362534.0,48.0,1190081.0,56.0,,6776.0,54751.0,,49.0,,5.0,2.0,20777.0,24062.0,8.0,,174.0,,,24032.0,601062.0,7976.0,28255.0,831374.0,3.0,,,57137.0,2150.0,125382.0,1576912.0,77.0,,171032.0,,362535.0,362535.0,,2.0,,2848.0,,,3468663.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
32,Bennyslammer,243.0,285.0,166.0,58.0,198406.0,1290.0,6928467.0,270.0,39.0,22253.0,156349.0,59.0,119.0,,69.0,235.0,57716.0,728935.0,16.0,6.0,7172.0,44.0,93.0,147355.0,5805864.0,237127.0,134218.0,991828.0,29.0,50.0,24.0,17974.0,34373.0,124454.0,2458282.0,1550.0,13925993.0,666419.0,55.0,2650093.0,2650093.0,126.0,16.0,,1015.0,,,1674968.0,10.0,7.0,1.0,6.0,13.0,,,8.0,,,,1.0,,1.0,,352.0,1.0,216.0,,,,,,,,,
